X,Y,id,note,icon_url,Db_Export_IDScheda,Db_Export_DescStrada,Db_Export_TipiImpiantiprg_Descrizione,Db_Export_noteprg,Db_Export_NumeroTransenne,Db_Export_GruppiImpianti_Descrizione,Db_Export_NumeroFoto
12.3653179710909,44.2350456679443,"618",,./1.png,"618",VIA EUROPA UNITA   angolo VAL PASSIRIA  VIA,Transenna L160,8 ELEMENTI,"8",Transenne parapedonali,IMG_1941
12.3667830776596,44.2355131812587,"619",,./1.png,"619",VIA PINARELLA   fronte VAL PASSIRIA  VIA,Transenna L160,6 + 3 ELEMENTI,"9",Transenne parapedonali,IMG_1942
12.3667892402201,44.2355050595374,"620",,./0.png,"620",VIA PINARELLA   fronte VAL PASSIRIA  VIA,Impianto a due pali,A SX DEL PALO LUCE DIETRO CORDOLO,"0",Segnaletica direzionale privata,IMG_1942
12.3692516012082,44.2319027003638,"621",,./1.png,"621",VIA PINARELLA   angolo LAZIO  VIA,Transenna L160,2 + 3 ELEMENTI,"5",Transenne parapedonali,IMG_1943
12.3692239180698,44.2319400412773,"622",,./1.png,"622",VIA PINARELLA   angolo LAZIO  VIA,Transenna L160,2 + 3 ELEMENTI,"5",Transenne parapedonali,IMG_1944
12.3691737675503,44.2318740330041,"623",,./0.png,"623",VIA PINARELLA   angolo LAZIO  VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1945
12.3764049192518,44.2231765131212,"624",,./0.png,"624",VIA DEL SAGITTARIO   angolo PINARELLA  VIA,Impianto a due pali,AL POSTO DEL NOME VIA,"0",Segnaletica direzionale privata,IMG_1946
12.3776058177436,44.2217373964317,"625",,./1.png,"625",VIA PINARELLA   angolo SICILIA  VIALE,Transenna L160,6 ELEMENTI,"6",Transenne parapedonali,IMG_1947
12.3775818581149,44.22176728478,"626",,./1.png,"626",VIA PINARELLA   angolo SICILIA  VIALE,Transenna L160,4 ELEMENTI,"4",Transenne parapedonali,IMG_1948
12.3776033523933,44.2217329039662,"627",,./0.png,"627",VIA PINARELLA   Angolo SICILIA  VIALE,Impianto a due pali,AL POSTO DEL NOME VIA,"0",Segnaletica direzionale privata,IMG_1949
12.3790189177654,44.2224240444752,"130",,./0.png,"130",VIALE SICILIA Lato n.c. 30 fronte DEI PESCI PIAZZALE,Impianto monopalo,,"0",Segnaletica direzionale privata,IMG_1306
12.3821897127506,44.2240574274128,"81",,./0.png,"81",VIALE ITALIA   angolo SICILIA VIALE,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1258
12.3790390256667,44.2243079835356,"84",,./0.png,"84",VIALE DEI GEMELLI   angolo DEL SAGITTARIO VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1261
